prism_consumer_id,score
434,0.05102598
435,0.018141666
436,0.047631677
437,0.016225636
438,0.004877424
439,0.025492521
440,0.14446472
441,0.020585585
442,0.018876132
443,0.0069349757
444,0.036282305
445,0.008041292
446,0.012538713
447,0.07477359
448,0.009853181
449,0.036871083
450,0.43613207
451,0.052005116
452,0.0072115907
453,0.0071544717
454,0.031770654
455,0.005410137
456,0.004551302
457,0.020102357
458,0.09343794
459,0.005087007
460,0.10543848
461,0.0060451035
462,0.006263382
463,0.029810134
464,0.009197157
465,0.015564596
466,0.010673674
467,0.019875785
468,0.012269195
469,0.059713338
470,0.09606132
471,0.02538816
472,0.01116072
473,0.014800814
474,0.0031089392
475,0.033684187
476,0.0054442505
477,0.015829062
478,0.03097491
479,0.006690518
480,0.008546043
481,0.19216
482,0.12664437
483,0.06415143
484,0.052236274
485,0.007970926
486,0.009431259
487,0.009625844
488,0.02637124
489,0.0062651657
490,0.012837241
491,0.018554972
492,0.012784746
493,0.003609441
494,0.14674307
495,0.017188884
496,0.008643667
497,0.008758278
498,0.3796633
499,0.038040545
500,0.055943448
501,0.020837199
502,0.01021064
503,0.053790506
504,0.018236427
505,0.0069577335
506,0.008479669
507,0.008162743
508,0.007799023
509,0.06657331
510,0.020410517
511,0.013730582
512,0.012331587
513,0.010153202
514,0.026779594
515,0.030840892
516,0.022469219
517,0.008775043
518,0.0106967855
519,0.012431973
520,0.08070002
521,0.008382792
522,0.008579529
523,0.006872582
524,0.0057700286
525,0.035252117
526,0.07080004
527,0.008176069
528,0.045530155
529,0.030520156
530,0.012765063
531,0.013547976
532,0.07709729
533,0.00737868
534,0.07789629
535,0.62603766
536,0.03180082
537,0.010004791
538,0.038726076
539,0.0064994306
540,0.04532941
541,0.01344789
542,0.013732946
543,0.009176717
544,0.062418684
545,0.008774774
546,0.20616443
547,0.012019122
548,0.018584846
549,0.015923068
550,0.061092634
551,0.05008114
552,0.002340609
553,0.028216293
554,0.04342258
555,0.006324368
556,0.01362657
557,0.008671926
558,0.019301519
559,0.012496199
